ID	B1	B2	B3	val
319	156	82	104	3
320	156	90	93	3
321	156	90	104	3
322	143	97	93	3
323	149	90	104	3
324	156	90	104	3
325	162	97	104	3
326	156	75	104	3
327	162	75	104	3
328	174	75	104	3
329	181	90	104	3
330	193	127	116	3
331	199	143	139	3
332	199	158	162	3
333	193	135	139	3
334	187	120	127	3
335	168	120	127	3
336	162	105	116	3
337	156	105	116	3
338	162	90	104	3
339	156	82	104	3
340	149	82	104	3
341	143	75	104	3
342	149	82	93	3
343	162	75	104	3
344	168	82	104	3
345	174	90	104	3
346	187	82	104	3
347	206	90	93	3
348	206	97	104	3
349	212	97	104	3
350	212	90	104	3
351	212	75	104	3
352	212	97	104	3
353	212	97	104	3
354	206	105	116	3
355	206	112	127	3
356	206	112	139	3
357	206	105	139	3
358	206	97	116	3
359	199	90	104	3
360	199	90	104	3
361	199	82	104	3
362	199	97	104	3
363	206	90	104	3
364	199	90	116	3
365	199	97	116	3
366	199	90	104	3
367	206	97	116	3
368	206	90	116	3
369	199	90	116	3
370	199	90	116	3
371	193	75	104	3
372	193	90	116	3
373	193	82	104	3
374	187	90	116	3
375	206	97	116	3
376	218	97	116	3
377	231	120	127	3
378	237	120	139	3
379	237	120	151	3
380	231	112	139	3
381	218	90	116	3
382	206	97	116	3
383	193	82	116	3
384	181	82	104	3
385	168	82	104	3
386	193	82	104	3
387	193	82	104	3
388	206	90	104	3
389	218	90	104	3
390	237	97	116	3
391	249	97	116	3
392	255	97	116	3
393	255	90	116	3
394	243	90	116	3
395	243	97	127	3
396	243	90	116	3
397	237	105	116	3
398	243	105	116	3
399	243	105	127	3
400	249	120	127	3
401	249	112	127	3
402	243	112	127	3
403	243	105	127	3
404	231	105	127	3
405	231	105	127	3
406	224	105	127	3
407	224	127	127	3
408	231	112	127	3
409	224	105	127	3
410	224	105	127	3
411	224	97	116	3
412	218	112	127	3
413	231	105	127	3
414	218	105	116	3
415	218	112	116	3
416	224	120	127	3
417	218	112	139	3
418	218	97	127	3
419	199	97	116	3
420	187	105	104	3
421	199	112	116	3
422	212	127	151	3
423	218	127	139	3
424	218	120	139	3
425	212	112	127	3
426	199	105	104	3
427	187	97	104	3
428	168	82	104	3
429	162	82	104	3
430	149	82	104	3
431	137	75	104	3
432	131	90	93	3
433	124	82	93	3
434	143	90	93	3
435	149	97	104	3
436	156	90	104	3
437	162	97	104	3
438	162	82	104	3
439	168	90	104	3
440	168	105	104	3
441	174	112	116	3
442	174	127	127	3
443	174	97	116	3
444	174	105	116	3
445	168	105	116	3
446	162	90	116	3
447	162	97	104	3
448	162	82	116	3
449	156	82	104	3
450	149	75	104	3
451	143	75	104	3
452	143	82	104	3
453	162	82	104	3
454	174	82	104	3
455	174	90	104	3
456	181	82	104	3
457	187	97	104	3
458	199	97	104	3
459	206	97	104	3
460	212	90	104	3
461	212	90	104	3
462	212	97	116	3
463	212	90	104	3
464	199	105	116	3
465	199	112	127	3
466	193	112	127	3
467	199	105	139	3
468	199	97	116	3
469	199	90	116	3
470	206	82	104	3
471	206	82	104	3
472	206	97	104	3
473	199	82	104	3
474	187	90	116	3
475	181	90	104	3
476	181	90	104	3
477	187	97	116	3
478	193	90	104	3
479	193	97	116	3
480	206	97	116	3
481	199	90	116	3
482	199	97	116	3
483	199	82	104	3
484	193	97	116	3
485	206	90	116	3
486	212	97	116	3
487	224	120	127	3
488	231	112	139	3
489	224	112	127	3
490	224	97	116	3
491	212	90	116	3
492	206	97	116	3
493	199	75	104	3
494	187	82	104	3
495	181	82	104	3
496	193	82	104	3
497	199	90	104	3
498	206	90	104	3
499	218	90	116	3
500	243	97	116	3
501	249	97	116	3
502	249	90	116	3
503	249	90	116	3
504	224	90	116	3
505	231	90	116	3
506	231	90	104	3
507	237	105	127	3
508	243	105	116	3
509	243	112	127	3
510	249	120	139	3
511	249	112	139	3
512	249	120	127	3
513	243	112	127	3
514	237	120	127	3
515	237	127	127	3
516	231	112	139	3
517	231	127	139	3
518	231	112	139	3
519	218	97	127	3
520	218	97	116	3
521	224	90	116	3
522	218	105	116	3
523	218	90	116	3
524	212	97	116	3
525	224	97	116	3
526	224	105	127	3
527	218	105	127	3
528	212	82	116	3
529	199	105	116	3
530	206	120	139	3
531	218	127	151	3
532	218	135	151	3
533	212	120	127	3
534	212	112	127	3
535	212	105	116	3
536	224	105	116	3
537	224	105	127	3
538	199	90	139	3
539	181	97	116	3
540	162	90	104	3
541	143	75	104	3
542	131	82	93	3
543	131	75	93	3
544	137	90	93	3
545	149	90	104	3
546	156	90	104	3
547	156	97	104	3
548	156	75	104	3
549	149	97	104	3
550	156	105	104	3
551	156	112	104	3
552	162	112	116	3
553	168	105	104	3
554	174	112	116	3
555	168	112	116	3
556	168	105	116	3
557	168	105	116	3
558	168	82	104	3
559	162	90	104	3
560	162	82	104	3
561	156	82	104	3
562	162	90	116	3
563	168	82	104	3
564	174	90	104	3
565	181	90	104	3
566	181	90	116	3
567	181	90	116	3
568	187	82	104	3
569	193	90	104	3
570	199	90	104	3
571	193	90	104	3
572	187	82	104	3
573	181	90	104	3
574	174	105	104	3
575	187	105	116	3
576	174	97	116	3
577	174	90	116	3
578	181	82	104	3
579	181	90	104	3
580	187	82	104	3
581	187	82	104	3
582	187	90	104	3
583	181	75	104	3
584	168	90	116	3
585	162	82	104	3
586	162	90	104	3
587	168	90	104	3
588	174	82	104	3
589	181	105	104	3
590	193	97	116	3
591	193	97	116	3
592	193	97	116	3
593	199	82	116	3
594	206	105	116	3
595	218	90	116	3
596	218	97	116	3
597	224	105	127	3
598	224	97	127	3
599	231	105	116	3
600	224	97	127	3
601	199	97	127	3
602	206	97	116	3
603	199	82	104	3
604	193	90	104	3
605	193	82	104	3
606	212	90	116	3
607	212	97	104	3
608	218	97	104	3
609	224	97	127	3
610	243	97	116	3
611	243	97	116	3
612	243	90	127	3
613	237	90	116	3
614	224	90	104	3
615	218	90	116	3
616	224	97	116	3
617	231	97	127	3
618	243	105	116	3
619	243	120	151	3
620	249	112	139	3
621	249	112	127	3
622	243	112	139	3
623	237	105	127	3
624	231	127	127	3
625	231	127	127	3
626	231	135	139	3
627	231	135	151	3
628	224	112	151	3
629	218	105	116	3
630	218	97	104	3
631	218	97	104	3
632	218	97	116	3
633	212	90	104	3
634	218	97	116	3
635	224	90	116	3
636	224	97	127	3
637	212	105	116	3
638	199	82	104	3
639	193	120	116	3
640	212	127	127	3
641	206	120	139	3
642	206	112	127	3
643	206	90	116	3
644	212	97	104	3
645	224	90	104	3
646	237	105	116	3
647	237	112	127	3
648	224	97	116	3
649	206	112	127	3
650	181	90	116	3
651	162	82	104	3
652	149	82	93	3
653	149	75	93	3
654	149	90	93	3
655	149	82	104	3
656	162	90	104	3
657	168	97	104	3
658	174	97	104	3
659	174	105	116	3
660	174	112	127	3
661	174	120	127	3
662	174	127	139	3
663	187	135	139	3
664	199	135	151	3
665	206	143	162	3
666	199	135	162	3
667	187	112	139	3
668	181	90	104	3
669	181	90	104	3
670	181	82	104	3
671	181	90	116	3
672	187	97	116	3
673	187	82	104	3
674	187	90	104	3
675	193	97	104	3
676	193	97	127	3
677	187	97	127	3
678	187	82	104	3
679	187	90	104	3
680	181	82	104	3
681	174	82	104	3
682	174	90	104	3
683	174	105	116	3
684	181	127	139	3
685	187	105	127	3
686	174	97	116	3
687	174	90	116	3
688	174	90	104	3
689	174	90	104	3
690	168	82	104	3
691	162	82	104	3
692	174	82	104	3
693	168	75	104	3
694	162	90	104	3
695	156	82	104	3
696	162	90	104	3
697	168	90	104	3
698	168	90	104	3
699	174	97	104	3
700	181	82	104	3
701	181	97	116	3
702	187	97	116	3
703	199	90	104	3
704	212	112	116	3
705	218	105	127	3
706	224	112	116	3
707	231	105	127	3
708	224	105	127	3
709	224	120	116	3
710	218	120	139	3
711	206	120	139	3
712	206	105	127	3
713	199	90	104	3
714	199	90	116	3
715	218	97	116	3
716	218	97	116	3
717	224	97	116	3
718	224	112	127	3
719	231	105	116	3
720	231	105	127	3
721	237	105	127	3
722	231	90	116	3
723	224	105	104	3
724	224	97	116	3
725	224	105	127	3
726	231	112	127	3
727	231	112	127	3
728	231	135	162	3
729	231	112	139	3
730	231	112	127	3
731	243	112	127	3
732	231	105	127	3
733	231	112	127	3
734	231	105	127	3
735	218	112	127	3
736	218	120	139	3
737	218	105	139	3
738	218	112	116	3
739	212	97	116	3
740	212	105	116	3
741	212	97	116	3
742	218	90	104	3
743	218	97	116	3
744	218	90	116	3
745	206	97	116	3
746	199	97	116	3
747	187	97	104	3
748	181	105	116	3
749	187	120	127	3
750	181	112	127	3
751	199	97	116	3
752	206	82	104	3
753	224	90	93	3
754	237	90	116	3
755	243	112	116	3
756	243	112	116	3
757	231	105	116	3
758	218	120	127	3
759	206	90	127	3
760	193	90	104	3
761	168	90	104	3
762	149	82	104	3
763	156	90	93	3
764	162	82	104	3
765	168	97	104	3
766	187	105	104	3
767	199	105	127	3
768	206	120	139	3
769	206	127	139	3
770	206	135	139	3
771	212	150	151	3
772	224	165	174	3
773	231	158	186	3
774	231	158	174	3
775	224	143	162	3
776	206	120	139	3
777	199	90	116	3
778	199	82	104	3
779	199	75	104	3
780	193	97	116	3
781	206	97	104	3
782	206	90	104	3
783	206	90	116	3
784	206	105	116	3
785	212	120	139	3
786	206	105	116	3
787	206	97	104	3
788	206	105	116	3
789	199	82	116	3
790	187	90	104	3
791	187	105	116	3
792	206	120	139	3
793	212	135	162	3
794	199	97	116	3
795	187	97	104	3
796	187	90	104	3
797	193	90	104	3
798	187	97	104	3
799	187	82	104	3
800	181	82	104	3
801	181	82	104	3
802	174	82	104	3
803	168	82	104	3
804	168	75	93	3
805	174	105	116	3
806	187	105	127	3
807	181	90	116	3
808	187	90	104	3
809	193	75	104	3
810	199	97	116	3
811	212	90	116	3
812	218	97	116	3
813	224	112	127	3
814	231	112	127	3
815	231	120	127	3
816	224	112	139	3
817	224	120	139	3
818	218	143	151	3
819	212	158	162	3
820	212	150	186	3
821	199	112	139	3
822	199	97	116	3
823	199	90	104	3
824	224	105	127	3
825	224	105	127	3
826	231	120	139	3
827	231	135	139	3
828	231	120	139	3
829	231	112	139	3
830	237	112	127	3
831	231	105	116	3
832	224	105	116	3
833	224	112	127	3
834	231	112	139	3
835	212	112	139	3
836	206	120	127	3
837	193	120	139	3
838	181	97	116	3
839	181	105	127	3
840	193	112	116	3
841	206	105	127	3
842	212	105	127	3
843	218	97	116	3
844	206	112	116	3
845	187	105	104	3
846	193	97	104	3
847	206	105	93	3
848	212	90	104	3
849	212	97	116	3
850	218	97	116	3
851	224	90	116	3
852	218	97	127	3
853	206	90	104	3
854	187	97	116	3
855	187	82	116	3
856	174	90	104	3
857	168	105	104	3
858	174	97	104	3
859	193	105	104	3
860	224	90	116	3
861	224	90	116	3
862	237	105	116	3
863	249	97	116	3
864	249	120	127	3
865	237	112	116	3
866	231	105	127	3
867	212	105	127	3
868	206	97	116	3
869	199	97	104	3
870	187	97	116	3
871	193	105	116	3
872	193	105	116	3
873	193	90	116	3
874	199	112	116	3
875	212	105	116	3
876	212	112	116	3
877	212	120	127	3
878	212	127	127	3
879	218	143	127	3
880	231	158	151	3
881	231	165	174	3
882	231	150	174	3
883	231	135	127	3
884	224	143	151	3
885	218	112	127	3
886	218	90	116	3
887	212	90	104	3
888	212	82	104	3
889	212	90	116	3
890	218	90	104	3
891	218	97	116	3
892	212	97	116	3
893	212	105	116	3
894	218	120	139	3
895	224	97	116	3
896	224	105	116	3
897	218	105	116	3
898	218	90	116	3
899	218	105	104	3
900	212	112	116	3
901	206	120	127	3
902	206	112	127	3
903	193	90	116	3
904	193	97	104	3
905	193	82	104	3
906	199	97	104	3
907	199	97	104	3
908	193	82	104	3
909	199	97	116	3
910	206	90	104	3
911	193	90	104	3
912	187	97	104	3
913	187	97	116	3
914	199	143	127	3
915	206	127	162	3
916	199	112	139	3
917	199	97	116	3
918	206	90	116	3
919	218	105	116	3
920	237	97	116	3
921	231	105	127	3
