B1	B2	B3	val
212	225	255	2
206	225	255	2
193	210	255	2
181	218	232	2
181	210	232	2
187	203	244	2
187	195	244	2
187	188	221	2
181	210	221	2
187	203	221	2
187	188	221	2
187	188	209	2
187	195	209	2
187	218	232	2
193	225	255	2
193	233	255	2
193	240	255	2
193	233	255	2
206	225	255	2
199	225	255	2
199	225	244	2
206	225	244	2
199	218	244	2
193	225	255	2
193	240	255	2
199	255	255	2
206	255	255	2
199	240	255	2
212	240	255	2
218	248	255	2
224	240	255	2
212	180	221	2
199	180	209	2
193	195	209	2
206	203	221	2
218	195	209	2
224	233	255	2
199	210	232	2
199	195	197	2
193	210	209	2
199	233	232	2
212	248	244	2
218	255	255	2
218	255	255	2
218	255	255	2
218	240	255	2
212	233	244	2
212	233	232	2
212	233	232	2
218	233	244	2
218	225	244	2
199	210	255	2
193	210	232	2
187	203	232	2
187	203	232	2
187	203	232	2
193	195	244	2
193	195	232	2
187	203	221	2
187	225	232	2
193	210	244	2
193	188	221	2
193	188	197	2
187	203	209	2
181	225	255	2
193	240	255	2
193	248	255	2
193	255	255	2
193	248	255	2
199	248	255	2
199	248	255	2
206	240	255	2
212	233	255	2
212	218	255	2
206	233	244	2
193	233	255	2
206	240	255	2
212	255	255	2
212	248	255	2
218	248	255	2
218	248	255	2
218	233	255	2
212	180	232	2
199	188	197	2
199	195	209	2
212	195	221	2
224	210	232	2
224	255	255	2
212	225	255	2
212	225	244	2
199	225	255	2
206	233	255	2
212	240	255	2
218	255	255	2
212	255	255	2
218	255	255	2
212	248	255	2
206	240	255	2
212	233	244	2
218	218	232	2
224	210	221	2
218	210	221	2
212	218	209	2
212	218	232	2
218	225	232	2
218	233	232	2
231	255	255	2
243	255	255	2
255	255	255	2
249	255	255	2
237	233	255	2
224	225	232	2
218	218	221	2
212	218	232	2
206	225	232	2
206	233	255	2
206	218	255	2
206	210	232	2
218	218	232	2
224	225	244	2
224	210	232	2
231	203	221	2
243	180	197	2
243	173	209	2
249	165	197	2
255	158	186	2
249	173	197	2
255	165	186	2
255	165	197	2
249	165	197	2
243	180	197	2
237	188	221	2
231	210	221	2
224	225	221	2
224	233	232	2
224	248	244	2
218	240	255	2
224	248	255	2
231	240	255	2
237	225	244	2
237	203	221	2
243	180	197	2
237	165	197	2
218	173	197	2
218	180	209	2
224	188	197	2
212	188	221	2
231	188	209	2
218	180	197	2
206	195	197	2
206	233	232	2
206	248	255	2
206	203	244	2
206	210	244	2
199	210	244	2
193	210	244	2
193	210	232	2
199	218	244	2
193	218	244	2
199	218	255	2
199	240	255	2
199	210	255	2
206	203	232	2
199	195	221	2
187	203	221	2
187	233	255	2
193	248	255	2
199	248	255	2
193	255	255	2
199	255	255	2
206	255	255	2
218	255	255	2
224	255	255	2
218	240	255	2
212	233	255	2
212	240	255	2
199	248	255	2
218	255	255	2
224	255	255	2
231	255	255	2
237	255	255	2
218	248	255	2
212	218	255	2
199	188	232	2
193	195	209	2
199	203	221	2
212	188	209	2
237	218	232	2
231	255	255	2
218	233	255	2
224	240	255	2
212	248	255	2
212	248	255	2
212	255	255	2
212	255	255	2
206	255	255	2
206	255	255	2
212	248	255	2
212	240	255	2
212	233	244	2
224	210	221	2
218	203	221	2
218	210	221	2
212	225	221	2
212	218	255	2
218	218	232	2
218	218	221	2
224	233	244	2
231	255	255	2
231	255	255	2
231	255	255	2
224	233	255	2
218	210	221	2
212	195	209	2
212	195	209	2
206	218	221	2
206	233	244	2
206	233	255	2
212	225	255	2
231	225	255	2
243	210	244	2
249	195	221	2
243	188	197	2
