ID	B1	B2	B3	val
319	212	240	255	2
320	218	240	255	2
321	231	225	255	2
322	243	195	221	2
323	243	180	197	2
324	231	180	197	2
325	218	188	209	2
326	218	203	232	2
327	212	203	232	2
328	206	203	232	2
329	206	203	232	2
330	206	203	232	2
331	199	180	221	2
332	212	173	197	2
333	212	158	186	2
334	218	150	186	2
335	224	165	162	2
336	237	173	197	2
337	249	173	197	2
338	249	173	197	2
339	249	173	197	2
340	249	165	186	2
341	243	180	209	2
342	243	188	197	2
343	237	195	221	2
344	231	203	244	2
345	224	195	232	2
346	212	165	197	2
347	224	165	186	2
348	224	165	197	2
349	231	180	209	2
350	231	203	197	2
351	218	203	221	2
352	218	218	221	2
353	212	248	232	2
354	206	248	255	2
355	199	218	232	2
356	193	218	232	2
357	193	218	232	2
358	187	233	244	2
359	187	248	255	2
360	187	255	255	2
361	181	240	255	2
362	199	233	244	2
363	199	240	244	2
364	206	233	244	2
365	206	210	221	2
366	206	203	209	2
367	212	225	209	2
368	212	248	244	2
369	212	255	255	2
370	218	255	255	2
371	218	255	255	2
372	231	255	255	2
373	231	255	255	2
374	237	255	255	2
375	231	255	255	2
376	218	255	255	2
377	224	255	255	2
378	224	255	255	2
379	212	248	255	2
380	212	240	255	2
381	224	225	255	2
382	237	225	244	2
383	237	233	244	2
384	224	233	255	2
385	218	210	232	2
386	199	195	221	2
387	193	195	221	2
388	206	195	221	2
389	218	180	209	2
390	237	240	221	2
391	231	240	244	2
392	231	233	255	2
393	224	248	255	2
394	218	248	244	2
395	218	255	255	2
396	212	255	255	2
397	206	255	255	2
398	199	255	255	2
399	199	255	255	2
400	193	248	244	2
401	193	240	244	2
402	199	233	244	2
403	199	225	232	2
404	206	225	232	2
405	218	210	221	2
406	206	210	232	2
407	206	218	232	2
408	224	210	232	2
409	243	188	232	2
410	224	203	221	2
411	218	233	244	2
412	206	255	255	2
413	199	248	255	2
414	187	225	255	2
415	199	218	232	2
416	199	210	221	2
417	193	210	232	2
418	193	218	232	2
419	206	233	255	2
420	212	233	255	2
421	224	233	255	2
422	231	210	244	2
423	231	180	197	2
424	231	180	197	2
425	218	195	209	2
426	212	210	232	2
427	212	225	244	2
428	206	233	244	2
429	206	218	232	2
430	206	210	232	2
431	206	210	244	2
432	206	188	232	2
433	206	180	221	2
434	212	165	197	2
435	218	165	186	2
436	218	173	186	2
437	218	195	221	2
438	231	195	232	2
439	224	188	221	2
440	231	180	209	2
441	224	188	197	2
442	218	195	209	2
443	218	203	209	2
444	224	218	232	2
445	231	240	255	2
446	224	225	255	2
447	218	180	197	2
448	231	180	197	2
449	224	188	209	2
450	231	195	209	2
451	224	233	221	2
452	218	233	244	2
453	224	240	232	2
454	218	248	244	2
455	212	248	255	2
456	199	188	209	2
457	199	195	221	2
458	199	203	209	2
459	193	225	232	2
460	193	233	255	2
461	174	240	255	2
462	174	225	255	2
463	193	233	232	2
464	199	233	255	2
465	206	218	244	2
466	199	195	221	2
467	206	188	209	2
468	212	210	186	2
469	206	233	221	2
470	212	248	255	2
471	218	255	255	2
472	224	255	255	2
473	231	255	255	2
474	237	255	255	2
475	237	255	255	2
476	231	255	255	2
477	212	255	255	2
478	212	248	255	2
479	224	248	255	2
480	218	248	255	2
481	218	248	255	2
482	224	233	255	2
483	231	225	244	2
484	231	233	255	2
485	224	233	255	2
486	218	210	232	2
487	199	195	209	2
488	187	195	221	2
489	199	195	221	2
490	218	188	221	2
491	237	233	221	2
492	237	233	244	2
493	237	240	244	2
494	224	240	244	2
495	218	233	244	2
496	218	255	244	2
497	212	240	244	2
498	212	240	244	2
499	206	255	255	2
500	206	255	255	2
501	206	255	255	2
502	199	248	255	2
503	193	240	244	2
504	193	240	232	2
505	193	233	232	2
506	199	218	221	2
507	193	218	232	2
508	199	225	232	2
509	212	218	232	2
510	218	195	221	2
511	206	203	209	2
512	206	225	232	2
513	199	248	232	2
514	193	248	232	2
515	187	233	255	2
516	187	225	232	2
517	187	225	232	2
518	187	218	244	2
519	193	218	244	2
520	206	233	255	2
521	212	233	255	2
522	237	218	244	2
523	237	195	221	2
524	224	180	209	2
525	212	195	221	2
526	212	218	221	2
527	206	225	232	2
528	212	233	255	2
529	212	240	244	2
530	206	233	244	2
531	212	210	232	2
532	212	203	232	2
533	212	195	232	2
534	212	180	221	2
535	218	150	209	2
536	218	150	197	2
537	218	173	209	2
538	218	210	255	2
539	212	218	244	2
540	206	203	244	2
541	212	203	232	2
542	212	210	232	2
543	206	210	244	2
544	212	210	221	2
545	212	233	232	2
546	224	248	255	2
547	218	248	255	2
548	212	210	232	2
549	218	203	209	2
550	218	210	244	2
551	218	218	244	2
552	224	240	244	2
553	224	255	255	2
554	224	255	255	2
555	218	255	255	2
556	218	255	255	2
557	193	180	209	2
558	206	188	209	2
559	206	203	209	2
560	193	225	232	2
561	193	240	255	2
562	181	240	255	2
563	187	225	244	2
564	193	225	232	2
565	199	233	255	2
566	212	210	244	2
567	199	180	221	2
568	199	173	221	2
569	206	188	197	2
570	199	218	244	2
571	206	233	244	2
572	212	240	255	2
573	218	255	255	2
574	218	255	255	2
575	224	255	255	2
576	231	255	255	2
